Time,Temp
1,14.91
2,14.67
3,14.73
4,14.78
5,14.59
6,14.57
7,14.31
8,14.36
9,14.22
10,14.38
11,14.44
12,14.36
13,14.31
14,14.41
15,14.26
16,14.22
17,14.55
18,14.60
19,14.62
20,14.57
21,14.73
22,14.47
23,14.52
24,14.62
25,14.68
26,14.39
27,14.36
28,13.78
29,13.62
30,13.33
31,12.89
32,12.75
33,13.22
34,13.14
35,13.41
36,13.83
37,14.10
38,14.04
39,13.93
40,13.96
41,14.09
42,14.07
43,14.31
44,14.49
45,14.49
46,14.46
47,14.05
48,13.68
49,13.65
50,12.91
51,12.91
52,13.15
53,13.18
54,13.01
55,13.75
56,13.55
57,13.64
58,13.83
59,13.91
60,14.10
61,14.30
62,14.23
63,14.13
64,14.57
65,14.76
66,15.30
67,15.42
68,15.76
69,15.96
70,15.89
71,15.88
72,16.13
73,15.88
74,16.04
75,15.89
76,15.89
77,16.23
78,16.46
79,16.52
80,16.97
81,17.13
82,17.28
83,17.60
84,17.65
85,17.75
86,17.89
87,17.83
88,18.05
89,18.31
90,18.42
91,18.28

92,18.35
93,18.40
94,18.44
95,18.36
96,18.41

97,17.81
98,18.18
99,18.45
100,18.39
101,17.94
102,17.99
103,18.31
104,17.89
105,17.75
106,17.92
107,18.04
108,17.97
109,18.13
110,18.52
111,18.60
112,18.41
113,17.91
114,18.20
115,17.91
116,18.15
117,18.31
118,18.73
119,18.49
120,18.45
121,18.28
122,18.10
123,17.70
124,17.73
125,17.78
126,17.73
127,17.78
128,17.75
129,17.65
130,17.78
131,17.71
132,17.42
133,17.91
134,17.20
135,17.12
136,18.39
137,18.37
138,18.31
139,18.37
140,18.37
141,16.99
142,17.05
143,17.00
144,18.16
145,17.99
146,17.73
147,17.81
148,17.75
149,17.58
150,18.02

151,18.15
152,18.18
153,18.22
154,18.27
155,18.33

156,18.76
157,18.73
158,18.92
159,18.52
160,17.76
161,17.94
162,18.04
163,17.97
164,18.21
165,18.78
166,18.92
167,19.02
168,19.03
169,19.31
170,19.03
171,18.65
172,18.82
173,19.15
174,19.13
175,19.26
176,19.50
177,19.32
178,19.13
179,19.16
180,19.10
181,18.91

182,19.02
183,19.05
184,19.10
185,19.07
186,19.21
187,18.91
188,18.92
189,19.08
190,19.36
191,19.12
192,19.28
193,19.39
194,19.13
195,19.55
196,19.61

197,19.70
198,19.78
199,19.90
200,20.02
201,20.15
202,20.22
203,20.30
204,20.42
205,20.50
206,20.41
207,20.36
208,20.30
209,20.25
210,20.37
211,20.45
212,20.39
213,20.32
214,20.28
215,20.25
216,20.30
217,20.26
218,20.22
219,20.19
220,20.05
221,19.92
222,19.88
223,19.81
224,19.79
225,19.75
226,19.80
227,19.88
228,19.91
229,20.00
230,20.12
231,20.05
232,19.92

233,19.60
234,19.21
235,18.90
236,18.52

237,18.40
238,18.39
239,18.43
240,18.55
241,18.60
242,18.72
243,18.78
244,18.89
245,18.92
